BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;289236;399974;0;0
150;300306;421591;0;0
250;295039;407213;0;0
350;275176;371809;0;0
450;242876;318568;0;0
550;206347;257500;0;0
650;176546;192853;0;0
750;161514;138937;0;0
850;165550;111866;0;0
950;187224;132519;0;0
1050;219685;202844;0;0
1150;252510;296947;0;0
1250;279590;373029;0;0
1350;296111;414843;0;0
1450;300180;417609;0;0
1550;286638;392973;0;0
1650;260450;345807;0;0
1750;225290;289644;0;0
1850;189904;224996;0;0
1950;166569;164324;0;0
2050;160890;120764;0;0
2150;174513;115616;0;0
2250;202653;162650;0;0
2350;234679;249948;0;0
2450;267333;340750;0;0
2550;289753;399049;0;0
2650;299562;420609;0;0
2750;294105;407898;0;0
2850;274416;370802;0;0
2950;243982;319424;0;0
3050;207412;257361;0;0
3150;176095;193122;0;0
3250;161646;139908;0;0
3350;165989;111905;0;0
3450;187557;132016;0;0
3550;218879;202839;0;0
3650;252160;295348;0;0
3750;278165;374345;0;0
3850;297460;414921;0;0
3950;299586;417802;0;0
4050;286212;392169;0;0
4150;260971;346924;0;0
4250;226480;288401;0;0
4350;189918;225067;0;0
4450;166390;163512;0;0
4550;160752;120528;0;0
4650;175082;116094;0;0
4750;203202;162926;0;0
4850;235993;248997;0;0
4950;266469;340074;0;0
5050;289762;400320;0;0
5150;299870;421269;0;0
5250;294595;407402;0;0
5350;274850;370717;0;0
5450;244340;319873;0;0
5550;205728;257444;0;0
5650;177174;192861;0;0
5750;161408;138797;0;0
5850;166301;111447;0;0
5950;187220;132394;0;0
6050;219477;202453;0;0
6150;251487;295981;0;0
6250;279145;373641;0;0
6350;296191;415297;0;0
6450;299625;417561;0;0
6550;286216;391397;0;0
6650;259621;347262;0;0
6750;224990;288990;0;0
6850;189932;224421;0;0
6950;166264;163789;0;0
7050;160543;120512;0;0
7150;175024;115692;0;0
7250;203040;162860;0;0
7350;234923;249420;0;0
7450;266801;340150;0;0
7550;289709;399858;0;0
7650;299215;421016;0;0
7750;295594;408516;0;0
7850;275169;373013;0;0
7950;242540;319953;0;0
8050;207930;257807;0;0
8150;176483;192531;0;0
8250;161645;139076;0;0
8350;166349;112074;0;0
8450;187599;132080;0;0
8550;219788;202990;0;0
8650;252137;295271;0;0
8750;279810;373834;0;0
8850;297304;414093;0;0
8950;300571;416761;0;0
9050;286799;392342;0;0
9150;259282;347428;0;0
9250;225634;289171;0;0
9350;190837;224558;0;0
9450;165849;163673;0;0
9550;160707;120687;0;0
9650;174973;115398;0;0
9750;201919;162276;0;0
9850;235628;249896;0;0
9950;264578;337146;0;0
10050;1776;2447;0;0
10150;0;0;0;0
10250;0;0;0;0
10350;0;0;0;0
10450;0;0;0;0
10550;0;0;0;0
10650;0;0;0;0
10750;0;0;0;0
10850;0;0;0;0
10950;0;0;0;0
11050;0;0;0;0
11150;0;0;0;0
11250;0;0;0;0
11350;0;0;0;0
11450;0;0;0;0
11550;0;0;0;0
11650;0;0;0;0
11750;0;0;0;0
11850;0;0;0;0
11950;0;0;0;0
